,Product Name,Rating,Reviews,Price
0,"Motorola G34 5G (Ocean Green, 128 GB)",4.2,"93,853 Ratings ","₹11,999"
1,"Motorola G34 5G (Charcoal Black, 128 GB)",4.2,"93,853 Ratings ","₹11,999"
2,"Motorola G34 5G (Ice Blue, 128 GB)",4.2,"93,853 Ratings ","₹11,999"
3,"REDMI 13C (Stardust Black, 128 GB)",4.3,"27,096 Ratings ","₹7,699"
4,"POCO M6 Pro 5G (Power Black, 128 GB)",4.2,"1,07,922 Ratings ","₹9,999"
5,"REDMI 13C (Starshine Green, 128 GB)",4.3,"27,096 Ratings ","₹7,699"
6,"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)",4.5,"13,448 Ratings ","₹24,999"
7,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",4.1,"1,03,859 Ratings ","₹1,220"
8,"Motorola g04s (Satin Blue, 64 GB)",4.2,"4,496 Ratings ","₹6,999"
9,"POCO C65 (Pastel Blue, 128 GB)",4.2,"9,032 Ratings ","₹7,499"
10,"REDMI 13C (Starfrost White, 128 GB)",4.3,"27,096 Ratings ","₹7,699"
11,"POCO C65 (Pastel Blue, 128 GB)",4.3,"30,988 Ratings ","₹6,999"
12,"POCO C65 (Pastel Green, 128 GB)",4.3,"30,988 Ratings ","₹6,999"
13,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",4.1,"1,03,859 Ratings ","₹1,267"
14,"POCO C65 (Matte Black, 128 GB)",4.3,"30,988 Ratings ","₹6,999"
15,"POCO C65 (Matte Black, 128 GB)",4.2,"9,032 Ratings ","₹7,499"
16,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",4.1,"1,03,859 Ratings ","₹1,199"
17,"Motorola G34 5G (Ocean Green, 128 GB)",4.2,"37,030 Ratings ","₹10,999"
18,"vivo T3x 5G (Crimson Bliss, 128 GB)",4.5,"29,859 Ratings ","₹14,999"
19,"vivo T3x 5G (Celestial Green, 128 GB)",4.5,"29,859 Ratings ","₹14,999"
20,"Motorola g04s (Sea Green, 64 GB)",4.2,"4,496 Ratings ","₹6,999"
21,"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)",4.5,"16,902 Ratings ","₹22,999"
22,"Motorola g04s (Sunrise Orange, 64 GB)",4.2,"4,496 Ratings ","₹6,999"
23,"vivo T3x 5G (Celestial Green, 128 GB)",4.5,"9,041 Ratings ","₹13,499"
24,"Motorola g64 5G (Ice Lilac, 256 GB)",4.5,"8,827 Ratings ","₹16,999"
25,"REDMI 13C 5G (Startrail Silver, 128 GB)",5,"9,119 Ratings ","₹10,499"
26,LAVA A1 Josh BOL Keypad Mobile|1000 mAh Battery|Expandable Storage 32GB,5,"6,021 Ratings ",₹959
27,"Apple iPhone 15 (Black, 128 GB)",4.2,"40,360 Ratings ","₹70,999"
28,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",5,"1,03,859 Ratings ","₹1,268"
29,"realme 12x 5G (Woodland Green, 128 GB)",5,"4,129 Ratings ","₹14,999"
30,"realme 12x 5G (Twilight Purple, 128 GB)",4.2,"4,129 Ratings ","₹14,999"
31,"POCO M6 5G - Locked with Airtel Prepaid (Orion Blue, 128 GB)",4,"30,782 Ratings ","₹7,999"
32,"POCO C65 (Pastel Blue, 256 GB)",5,"8,215 Ratings ","₹8,499"
33,"realme 12x 5G (Woodland Green, 128 GB)",4.3,"30,770 Ratings ","₹12,999"
34,"POCO C65 (Pastel Green, 128 GB)",5,"9,032 Ratings ","₹7,499"
35,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",3,"1,03,859 Ratings ","₹1,289"
36,"realme 12x 5G (Twilight Purple, 128 GB)",4.1,"30,770 Ratings ","₹12,999"
37,"REDMI 13C (Stardust Black, 128 GB)",5,"8,749 Ratings ","₹8,499"
38,"REDMI 13C (Starshine Green, 128 GB)",1,"8,749 Ratings ","₹8,499"
39,"vivo T3 Lite 5G (Vibrant Green, 128 GB)",4.2,"1,775 Ratings ","₹11,499"
40,"vivo T3 Lite 5G (Majestic Black, 128 GB)",4.3,"1,775 Ratings ","₹11,499"
41,"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Music Buttons",4,"4,126 Ratings ","₹1,916"
42,"vivo T3 Lite 5G (Vibrant Green, 128 GB)",4.6,"1,066 Ratings ","₹10,499"
43,"vivo T3 Lite 5G (Majestic Black, 128 GB)",4.1,"1,066 Ratings ","₹10,499"
44,"Apple iPhone 15 (Pink, 128 GB)",4.4,"40,360 Ratings ","₹70,999"
45,"vivo T3 5G (Cosmic Blue, 256 GB)",4.4,"31,974 Ratings ","₹21,999"
46,"Apple iPhone 15 (Blue, 128 GB)",4.1,"40,360 Ratings ","₹70,999"
47,"realme P1 5G (Peacock Green, 128 GB)",4.2,"17,606 Ratings ","₹15,999"
